MATERIAL_CODE,MATERIAL_DESC,TYPE,CATEGORY_CODE
511825,멸치분말(참한식품)/분/실온/KR,ROH1,SPFS0040
613768,사출블로우용기(PET)/1.5L/참기름공용,ROH2,PLCO0040
619372,박스(A-1형)/80ML/참기름/운반용(간지포함),ROH2,PABX0010
614691,스티커/분소물물류바코드,ROH2,PLLB0030
615288,이지오픈지대/20kg/MILUC-700C (20KG),ROH2,PASA0030
615289,이지오픈지대/20kg/MILUC-8000,ROH2,PASA0030
615293,이지오픈지대/17.3kg/KS-01,ROH2,PASA0030
615294,이지오픈지대/15.1kg/KS-02,ROH2,PASA0030
615295,이지오픈지대/13.5kg/KS-03,ROH2,PASA0030
615299,이지오픈지대/일반85(LDPE),ROH2,PASA0030
615302,이지오픈지대/일반80(LDPE),ROH2,PASA0030
615304,이지오픈지대/일반75(LDPE),ROH2,PASA0030
615315,박스(A-1형)/500G/부침가루,ROH2,PABX0010
615316,박스(A-1형)/1kg/튀김가루,ROH2,PABX0010
615317,박스(A-1형)/500g/튀김가루,ROH2,PABX0010
615318,박스(A-1형)/1kg/바싹부침,ROH2,PABX0010
615319,박스(A-1형)/1KG/바싹튀김,ROH2,PABX0010
541505,다진양파(5MM)_FP2/냉장/KR,ROH1,AASV0050
614694,A)파우치/250kg/올리고당HF,ROH2,PLEF0030
615948,이지오픈지대/일반85(HDEP)고100,ROH2,PASA0030
618099,A)박스(WRC)/14Kg/일식된장,ROH2,PABX0020
604361,기타/상부 OPP테이프 (75mm*500M),ROH2,OTOT0010
507384,한우다짐육/고상/냉동/KR,ROH1,LLBF0120
505421,A)당근(다이스8MM)/고상/냉동/CN,ROH1,AARV0040
501639,A)냉동피망/고상/냉동/CN,ROH1,AASV0080
506906,홍고추/고상/냉장/KR,ROH1,AACV0060
506045,A)으깬시금치/고상/냉동/US,ROH1,AALV0110
506544,A)건표고갓슬라이스3호/분/실온/CN,ROH1,AAMU0070
500441,참깨/고상/실온/IMP,ROH1,AAMG0040
504489,A)청피망/고상/냉동/CN,ROH1,AASV0080
616647,수)애니천 SG 210g 박스,ROH2,PABX0010
520182,무추출농축액/액상/실온/KR,ROH1,APRV9990
626874,파우치(수동)/14KG/된장EVOH다층내(공통),ROH2,PLMF0040
616645,필름/210g/E)애니천 SG,ROH2,PLMF0060
616646,지함/210g/E)애니천 SG,ROH2,PAFD0010
623200,박스(A-1형)/500ML/포도씨유/20년(운반),ROH2,PABX0010
626779,스티커/10KG/B) 굴소스,ROH2,PLLB0030
621690,박스(A-1형)/96g/쇠고기산들애,ROH2,PABX0010
621691,파우치(수동)/96g/쇠고기산들애,ROH2,PLMF0040
621692,파우치(수동)/8g/쇠고기산들애,ROH2,PLMF0040
613356,이지오픈지대/20kg/고급면 CK,ROH2,PASA0030
616910,박스(A-1형)/E)발아현미 12번들,ROH2,PACB0010
616815,기타/파렛트 랩핑용 랩,ROH2,PLOT0040
616746,이지오픈지대/배터믹스대,ROH2,PASA0030
616749,이지오픈지대/20KG/무(HDPE),ROH2,PASA0030
616731,이지오픈지대/행운핫믹스,ROH2,PASA0030
616745,이지오픈지대/호도과자용가루5,ROH2,PASA0030
616751,이지오픈지대/10KG/무,ROH2,PASA0030
660587,잡관(원형외)/18L/CF OIL전용유,ROH2,MECA0010
601762,설명서/KG/대두피펠렛 C/bag/보증표/연두색,ROH2,PLLB0030
601757,설명서/KG/대두박5  C/BaG보증표/흰색,ROH2,PLLB0030
500697,젖산나트륨/액상/실온/TH,ROH1,FASB0010
501686,젖산칼륨/액상/실온/NL,ROH1,FASB0010
617093,P-BOX/플라스틱박스/공통,ROH2,PLBT0030
504794,A)염화마그네슘/고상/실온/수입산,ROH1,FAIM0090
504568,A)비타셀/분/실온/DE,ROH1,FAIM0040
500391,정제소금/고상/실온/KR,ROH1,CDSA0040
601404,파우치(수동)/1KG/핫케익,ROH2,PLMF0040
617764,잡관 (원형 외)/14Kg/태양초골드 CAN,ROH2,MECA0010
617770,잡관 (원형 외)/14Kg/알찬 CAN,ROH2,MECA0010
617775,블로우캡(PET)/원터치CAP,ROH2,PLCL0010
617782,칼라타이,ROH2,OTOT9990
617783,기타/OPP테이프(수동),ROH2,OTOT0010
617784,기타/공통/OPP테이프(자동)/투명/45MM,ROH2,OTOT0010
617785,기타/PP벤드,ROH2,OTOT0070
617950,리드/500G/공용,ROH2,PLMF0050
500904,부침양념믹스/분/실온/CN,ROH1,OPOT0040
625003,파우치(수동)/1kg/해물다시다,ROH2,PLMF0040
617977,A)필름/450g/고기쌈장봉,ROH2,PLMF0030
617982,필름/500g/사쌈봉,ROH2,PLMF0030
617983,필름/500g/재된봉,ROH2,PLMF0030
618007,사출용기/170G/비비고 사계절쌈장,ROH2,PLCO0050
618010,사출용기/3kg/사쌈,ROH2,PLCO0050
618015,사출용기/3kg/재된,ROH2,PLCO0050
618023,사출용기/450gTG),ROH2,PLCO0040
618025,사출용기/900g/용기,ROH2,PLCO0050
618039,잡관 (원형 외)/14kg/사쌈CAN,ROH2,MECA0010
618047,박스(A-1형)/900g/고기쌈장,ROH2,PABX0010
617265,파우치(수동)/500G/부침가루,ROH2,PLMF0040
617264,파우치(수동)/1KG/튀김가루,ROH2,PLMF0040
622801,이지오픈지대/20kg/강력1등-케이(K),ROH2,PASA0030
622802,스티커/6.5kg/사계절쌈장/전면,ROH2,PLLB0030
613764,박스(A-1형)/1.5L/100%통참깨참기름,ROH2,PABX0010
613767,사출캡/1.5L/참기름공용,ROH2,PLCL0010
618063,박스(A-1형)/900G/바지락꽃게된장찌개,ROH2,PABX0010
618067,박스(A-1형)/170g/사쌈,ROH2,PABX0010
618070,박스(A-1형)/3kg/사쌈,ROH2,PABX0010
618071,박스(A-1형)/500g/사쌈,ROH2,PABX0010
618072,박스(A-1형)/500g/사쌈봉,ROH2,PABX0010
618083,박스(A-1형)/3kg/재된,ROH2,PABX0010
618084,박스(A-1형)/500g/재된,ROH2,PABX0010
618085,박스(A-1형)/500g/재된봉,ROH2,PABX0010
618097,박스(WRC)/14Kg/구수한된장,ROH2,PABX0020
618100,박스(WRC)/14Kg/재된,ROH2,PABX0020
618102,박스(WRC)/14Kg/재된(Mix용),ROH2,PABX0020
618112,스티커/450G/고기쌈장(상),ROH2,PLLB0030
618113,스티커/450g/고기쌈장(전),ROH2,PLLB0030
618114,스티커(상)/900G/고기쌈장(상),ROH2,PLLB0030
618115,스티커/900g/고기쌈장(전),ROH2,PLLB0030
500259,우지/액상/실온/KR.AU,ROH1,LPBF0050
500503,사과퓨레/액상/냉동/KR,ROH1,APFR0024
500636,포리믹스CS/분/실온/KR,ROH1,FASB0030
500653,당근탈피/고상/냉장/KR,ROH1,AARV0040
500670,난백분(슈퍼하이겔)/분/실온/FR,ROH1,LPEG0030
618144,스티커(상)/900G/바지락꽃게된장찌개,ROH2,PLLB0030
618145,스티커(전)/900G/바지락꽃게된장찌개,ROH2,PLLB0030
618148,스티커/170g/사쌈(전),ROH2,PLLB0030
618149,스티커/1kg/사쌈(전),ROH2,PLLB0030
618150,스티커/1KG/사쌈(상),ROH2,PLLB0030
618153,스티커/3kg/사쌈(전),ROH2,PLLB0030
618154,스티커/3KG/사쌈(상),ROH2,PLLB0030
618155,스티커/500G/사쌈P (상),ROH2,PLLB0030
618156,스티커/500g/사쌈P (전),ROH2,PLLB0030
618161,스티커/1kg/재된(전),ROH2,PLLB0030
618162,스티커/1KG/재된(상),ROH2,PLLB0030
618165,스티커/3kg/재된(전),ROH2,PLLB0030
618166,스티커/3KG/재된(상),ROH2,PLLB0030
618167,스티커/500G/재된P (상),ROH2,PLLB0030
618168,스티커/500g/재된P (전),ROH2,PLLB0030
618186,기타/유산지(1kg),ROH2,PLLB0030
618190,기타/유산지(3kg),ROH2,PLLB0030
618191,기타/유산지(500g),ROH2,PLLB0030
618194,기타/유산지450g,ROH2,PLLB0030
618200,스티커/450g/고기쌈장(후),ROH2,PLLB0030
618201,스티커/900g/고기쌈장(후),ROH2,PLLB0030
601765,A)네크밴드/0.5L/대두(0.9ℓ),ROH2,PLSF0030
622755,이지오픈지대/20kg/중력분-에스(S)20KG,ROH2,PASA0030
618217,스티커(후)/900G/바지락꽃게된장찌개,ROH2,PLLB0030
618219,스티커/170g/사쌈(후),ROH2,PLLB0030
618220,스티커/1kg/사쌈(후),ROH2,PLLB0030
618222,스티커/3kg/사쌈(후),ROH2,PLLB0030
618223,스티커/500g/사쌈P (후),ROH2,PLLB0030
618226,스티커/1kg/재된(후),ROH2,PLLB0030
618228,스티커/3kg/재된(후),ROH2,PLLB0030
618229,스티커/500g/재된P (후),ROH2,PLLB0030
618235,스티커/3KG/E)영문/재된(전),ROH2,PLLB0030
618236,스티커/3KG/E)영문/재된(후),ROH2,PLLB0030
618237,스티커/3KG/E)영문/재된(상),ROH2,PLLB0030
618238,스티커/1KG/E)영문/재된(전),ROH2,PLLB0030
